# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 135, mean track length: 2
1 3.9335795226102128 2.172985089423662 13.154258829096792 87 83 71 0.25321338631271029 95 473 93 28
2 3.4828868336729526 2.7010672127707616 13.357603320289204 31 27 18 0.04354437203975179 95 456 93 108
3 3.5058734673939513 2.727345876564597 13.344343971469641 81 77 68 0.2197397143073242 95 169 93 115
4 3.5447425993430053 2.7440716576049997 13.327879992978353 90 86 75 0.0082441139719799141 95 449 93 124
5 3.4439540227430987 2.7435463610020507 13.365986116871451 35 31 22 0.13040935023936881 95 447 93 125
6 3.5813633345923517 2.7600844770412452 13.307510849357861 36 32 23 0.074650060444696686 95 446 93 127
7 3.4993565067470449 2.7768953793503757 13.343274352962021 85 81 72 0.097283835328638796 95 439 93 133
8 3.4993565067470449 2.7768953793503757 13.343274352962021 85 81 72 0.097283835328638796 95 440 93 134
9 3.5647733596350299 2.7790035933000747 13.314352464260226 28 23 17 0.25971608294030607 95 441 93 136
10 3.6243449467370907 2.8281132428395832 13.272003013428131 101 94 86 0.012862571740110436 95 432 93 144
11 3.5845636552299069 2.8306502438260801 13.300323745236032 30 27 18 0.057095171424487959 95 128 93 145
12 3.5440627276908954 2.8383874075242561 13.318401672400267 35 31 22 0.074653593936201662 95 431 93 148
14 3.5638738742187281 2.9898608038948375 13.296353328794549 63 56 46 0.31929692350464123 95 88 93 171
15 4.0833482487622472 3.2104657645899568 13.019758816110182 52 48 37 0.15664800005003934 95 61 93 199
16 3.7362211636383602 1.9601382363167152 13.238767620199079 122 118 106 0.22434927221900774 95 559 93 272
17 4.1265519294427442 2.3148653503686649 13.068420420669728 71 67 56 0.055939573932340246 95 553 93 278
18 4.1740856078808175 2.4068759996471183 13.042183548379768 121 117 106 0.13651536799740777 95 552 93 280
19 4.2120655706644019 2.5202516822995253 13.020216829537205 115 111 100 0.14170541908588041 95 551 93 287
20 2.9741443091319448 2.3983782911091853 13.501706223139466 151 148 141 0.73543727457075758 95 550 93 288
21 3.1082894682447781 2.6878409243710615 13.495097289811831 126 121 115 0.076119249334179365 95 608 93 300
22 3.4485508850795377 2.7054996129101037 13.368831241930653 33 29 20 0.81213071752596555 95 453 93 301
23 4.2440584372401506 2.7722067466718028 12.991778288536933 120 116 105 0.32005663663741546 95 458 93 302
24 4.1668865753915476 2.7839770245192508 13.021326417699647 131 127 116 0.085946440678245542 95 542 93 306
25 3.4996261255206322 2.7567620524908936 13.345007919743084 29 25 16 0.046368574242680712 95 445 93 308
26 3.5225892476852536 2.7607545258903858 13.335894855283129 90 86 77 0.077696427232873677 95 536 93 309
27 3.5225892476852536 2.7607545258903858 13.335894855283129 90 86 77 0.077696427232873677 95 537 93 310
28 3.5410407959223047 2.7631821666144067 13.323583512185996 30 26 17 0.092879001107617445 95 444 93 311
29 3.4667030413419768 2.7702485346262775 13.357063114477411 93 89 80 0.099457993772075967 95 534 93 313
30 3.4667030413419768 2.7702485346262775 13.357063114477411 93 89 80 0.099457993772075967 95 535 93 314
31 3.5986985360135995 2.778111783228173 13.297504892820562 35 30 24 0.29865472585899649 95 442 93 315
32 3.4831798401194156 2.7785883527839279 13.34751267491054 28 24 15 0.092738512817906807 95 533 93 316
33 3.5003470921748097 2.7980452734161925 13.338020945699473 34 30 21 0.13008479849571344 95 436 93 319
34 3.5220118487139853 2.7997986407671314 13.331155552061228 87 83 74 0.085514043908327092 95 530 93 321
35 3.5220118487139853 2.7997986407671314 13.331155552061228 87 83 74 0.085514043908327092 95 531 93 322
36 3.5974606187292499 2.8037631475540437 13.29714798835017 88 85 79 0.077612735345236022 95 532 93 324
37 3.5260875094546478 2.8212211318060545 13.328272013884609 41 34 26 0.18171849129799583 95 433 93 326
38 3.6019531021617253 2.8235385018459866 13.295781910107145 29 23 15 0.032295726132149212 95 529 93 327
39 3.5851441770505703 2.9006267476993703 13.290605229650868 102 95 85 0.23046415834582634 95 424 93 333
40 4.1360423518677303 3.1256631709397737 13.006888665666596 114 110 99 0.13107132611886163 95 409 93 348
41 3.8797052683221351 3.1704876533641735 13.119423403718161 130 126 115 0.12204321291471378 95 406 93 351
42 3.0550821374003765 2.1738614348795435 13.472122187362979 74 70 61 0.063629729772567672 95 618 93 391
43 3.1129231023786472 2.5137928017669182 13.481726691013526 92 88 79 0.040351488202555894 95 610 93 402
44 3.1129231023786472 2.5137928017669182 13.481726691013526 92 88 79 0.040351488202555894 95 611 93 403
45 3.4913581707441725 2.7142245123615645 13.346817751544098 32 28 19 0.16046114203071626 95 541 93 411
46 3.4578722878422656 2.7283440786883069 13.364467050905459 95 91 82 0.156951596929574 95 605 93 415
47 3.4578722878422656 2.7283440786883069 13.364467050905459 95 91 82 0.156951596929574 95 606 93 416
48 3.6215724896377171 2.8481163820257547 13.280714639315624 35 28 20 0.061829299127891008 95 602 93 420
49 3.5665791214469129 2.8609349337052339 13.308513707985849 32 25 17 0.056156787110010459 95 527 93 421
50 3.78237208470855 3.0340370078499874 13.183370753167621 86 80 68 0.077475600570791878 95 598 93 426
51 3.8141117015115125 3.0724090458644251 13.150996139447347 84 78 66 0.19150909019283868 95 592 93 429
52 3.6627430217299421 3.1129556373526737 13.237178329742468 104 97 87 0.32657854467730163 95 520 93 432
53 3.8511043527853133 3.1122657552303363 13.141646083518909 88 81 70 0.063848127666037785 95 518 93 433
54 3.867172185621147 3.1341603620731755 13.139229035361343 87 83 72 0.13533865720022725 95 517 93 435
55 3.6805798880904019 1.9098922271298999 13.257029466433302 120 116 104 0.4088889694988791 95 661 93 463
56 3.8447883315698927 2.106550543032101 13.198730739672499 119 115 104 0.37478702137477599 95 658 93 471
57 2.9934309035382713 2.0251717372157079 13.471553295230057 122 118 109 0.18360458011572983 95 657 93 473
58 2.9629513175193756 2.0480675151907226 13.478889487632376 122 118 109 0.163216678241696 95 656 93 474
59 3.1599975861951135 2.08697574388678 13.441875613857226 120 116 105 0.41411529001880715 95 654 93 476
60 2.9579862777745367 2.0864129100797708 13.478931575350011 126 122 113 0.094511761329934968 95 653 93 478
61 3.3488001497059714 2.7995852287318304 13.409242109038599 96 92 85 0.41197413229328378 95 604 93 488
62 3.5043061488014189 2.8253144925356106 13.338151845770357 88 81 73 0.066824212801043725 95 603 93 489
63 3.5947227026940638 2.8526609269671974 13.295422137307757 91 87 78 0.55142742268794254 95 601 93 490
64 3.5886084292865106 2.9556189330380396 13.289093681503415 67 60 50 0.20219324607410152 95 599 93 491
65 3.6856123403741723 3.0581567587594409 13.23067047698067 77 71 59 0.14813913141976753 95 594 93 492
66 3.7992551405601285 3.0538691965764797 13.177879647218434 83 77 65 0.092422157454660953 95 595 93 493
67 3.7992551405601285 3.0538691965764797 13.177879647218434 83 77 65 0.092422157454660953 95 596 93 494
68 3.9807206812963321 3.0594476655390004 13.08857123579333 117 111 99 0.85389759322307124 95 639 93 495
69 3.8789717708698501 3.1470930061961786 13.119239396827986 89 85 74 0.11746856237667266 95 589 93 496
70 3.8789717708698501 3.1470930061961786 13.119239396827986 89 85 74 0.11746856237667266 95 590 93 497
71 4.0685200625942075 3.2483996785230511 13.021370320175629 129 125 114 0.080723803811882461 95 586 93 498
72 3.4564337117132915 1.9278087162792406 13.339274679523449 73 67 55 0.14611884664078367 95 702 93 524
73 3.4564337117132915 1.9278087162792406 13.339274679523449 73 67 55 0.14611884664078367 95 703 93 525
74 3.6281606700746218 2.0150336999260379 13.285063614155311 96 89 79 0.098438375655708163 95 701 93 526
75 3.7380997133560641 2.0502974846887003 13.242617219973313 101 95 83 0.39070964788846907 95 700 93 529
76 3.3801508308094252 2.0047185193588937 13.369082783153599 79 75 64 0.12764740297466312 95 697 93 531
77 3.0166687313214071 2.0093133168511934 13.465841524311356 123 119 110 0.044100634149393414 95 695 93 532
78 4.0050125329834145 2.2466823877087525 13.121505350292184 76 72 61 0.51272378874795821 95 691 93 535
79 2.9688704790088334 2.1178410598715405 13.483889795929537 113 109 100 0.043098610139665441 95 689 93 537
80 4.1828154154008583 2.6696999825654939 13.02459182930664 97 93 84 0.13120780906407556 95 648 93 544
81 4.168108467956074 2.8860045599028346 13.011918218126842 83 79 68 0.17548296612826356 95 645 93 546
82 4.168108467956074 2.8860045599028346 13.011918218126842 83 79 68 0.17548296612826356 95 646 93 547
83 4.0843023266932077 3.0875300926620071 13.032304631658697 101 97 86 0.044256621197371525 95 637 93 551
84 3.4803151618246444 1.9626550019026052 13.33605316576447 124 120 109 0.26456255512656718 95 756 93 560
85 3.2292891517939202 2.0089327141121678 13.419188395752995 129 125 114 0.76360079068099851 95 751 93 562
86 3.0902981460732848 2.0274989656764104 13.452625768036416 126 122 113 0.3545172578519506 95 749 93 563
87 3.0902981460732848 2.0274989656764104 13.452625768036416 126 122 113 0.3545172578519506 95 750 93 564
88 2.9498863211270874 2.0642737419524777 13.486128358745116 127 123 114 0.74930176802019732 95 747 93 566
89 4.1855978131608014 2.4384272825913991 13.038783466903173 100 96 85 0.11403946894526132 95 742 93 567
90 2.9839961829952788 2.4640771301702475 13.511296535484759 143 139 136 0.42236201962383679 95 736 93 573
91 3.0565243547662146 2.5240103242263259 13.499208859629137 134 130 121 0.1661875005799141 95 734 93 574
92 3.1159470007855603 2.5750993932760129 13.481605186611556 129 124 118 0.48033955070191858 95 731 93 577
94 3.3116656576946513 2.750693348634544 13.424797170887828 103 99 90 0.21006175890439169 95 727 93 581
95 3.5847455318818442 2.7761269986688366 13.302444898370926 70 65 59 0.11768842419890567 95 679 93 582
96 3.5861972718277002 3.012780810370431 13.278385073564289 94 87 77 0.33413593803204678 95 719 93 587
97 3.7730729182156466 3.1541259411785072 13.1778226416797 87 83 74 0.045963729171413253 95 673 93 593
98 3.726939327779097 3.1648526271383983 13.194950998764966 112 106 98 0.53717483696882429 95 672 93 594
99 4.1195820051319929 3.1485736202693606 13.011286039036893 78 74 63 0.023839177587666134 95 674 93 595
100 4.1411505797878387 3.1659518456645737 12.999514874287284 115 111 100 0.058870830830593662 95 671 93 596
101 4.0484096549009418 3.1930514088384165 13.043448776775739 128 124 113 0.37136961867026341 95 713 93 597
102 3.6277350592192867 1.9041590806220388 13.278321798206406 121 117 105 0.22374954985511103 95 803 93 608
103 3.5984036396043524 1.9396290079879801 13.291678018796324 92 86 74 0.071421549919724908 95 795 93 615
